saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,sport,dport,seqnum,acknum,window,success,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
104.31.25.165,2769887080,192.168.1.64,1073850560,0,58,synack,443,60724,1651938589,1336679616,29200,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529577
34.232.111.115,1936713762,192.168.1.64,1073850560,0,45,synack,443,34255,2505228073,626887206,26883,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529617
35.228.34.122,2049106979,192.168.1.64,1073850560,0,58,synack,443,58083,1847923142,3376395652,28400,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529674
35.208.17.131,2198982691,192.168.1.64,1073850560,59298,102,synack,443,36804,4220598292,2941405876,60720,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529727
54.218.46.177,2972637750,192.168.1.64,1073850560,10202,101,synack,443,50690,2524947901,2209081242,8192,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529818
60.2.94.34,576586300,192.168.1.64,1073850560,32917,236,synack,443,45382,2481288828,3044661547,65535,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529866
104.59.140.248,4169939816,192.168.1.64,1073850560,0,48,synack,443,45912,630810549,3968907725,5840,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529908
66.181.14.202,3389961538,192.168.1.64,1073850560,17904,109,synack,443,34473,1135111953,3698471837,8192,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529949
198.38.91.211,3545966278,192.168.1.64,1073850560,0,50,synack,443,49577,2018537420,1775452095,14600,1,0,0,2019-01-09T17:24:55.530+0300,1547043895,530026
184.84.175.238,4004467896,192.168.1.64,1073850560,0,47,synack,443,47308,15102283,3043786069,29200,1,0,0,2019-01-09T17:24:55.530+0300,1547043895,530066
104.102.118.59,997615208,192.168.1.64,1073850560,0,49,synack,443,53920,2705997978,1044902747,29200,1,0,0,2019-01-09T17:24:55.530+0300,1547043895,530118
12.197.220.37,635225356,192.168.1.64,1073850560,0,48,synack,443,59191,3096741183,1121830002,29200,1,0,0,2019-01-09T17:24:55.530+0300,1547043895,530167
178.37.118.111,1870013874,192.168.1.64,1073850560,0,52,synack,443,47030,2237272119,3338824973,5808,1,0,0,2019-01-09T17:24:56.552+0300,1547043896,552985
23.220.41.91,1529469975,192.168.1.64,1073850560,0,47,synack,443,40050,3365135344,42062628,29200,1,0,0,2019-01-09T17:24:56.553+0300,1547043896,553177
107.187.21.158,2652224363,192.168.1.64,1073850560,20515,111,synack,443,58144,196428541,2858211228,8192,1,0,0,2019-01-09T17:24:56.553+0300,1547043896,553231
78.8.167.50,849807438,192.168.1.64,1073850560,0,52,synack,443,54838,1571169933,1136906316,5808,1,0,0,2019-01-09T17:24:56.553+0300,1547043896,553325
143.202.181.70,1186318991,192.168.1.64,1073850560,0,37,synack,443,38362,1663825522,3287112965,5760,1,0,0,2019-01-09T17:24:56.553+0300,1547043896,553457
52.21.112.206,3463451956,192.168.1.64,1073850560,0,236,synack,443,60226,1083176189,115167537,29200,1,0,0,2019-01-09T17:24:56.553+0300,1547043896,553589
203.241.110.112,1886319051,192.168.1.64,1073850560,0,47,synack,443,45927,3689516024,2154644649,29200,1,0,0,2019-01-09T17:24:56.553+0300,1547043896,553690
189.163.195.135,2277745597,192.168.1.64,1073850560,0,48,synack,443,57490,3054299957,2134226196,14600,1,0,0,2019-01-09T17:24:56.553+0300,1547043896,553779
89.201.174.134,2259601753,192.168.1.64,1073850560,0,48,synack,443,60749,1903038581,1649928334,29200,1,0,0,2019-01-09T17:24:56.553+0300,1547043896,553886
212.95.118.204,3430309844,192.168.1.64,1073850560,249,242,synack,443,52822,2626367367,1377125371,8192,1,0,0,2019-01-09T17:24:56.553+0300,1547043896,553944
132.148.101.31,526750852,192.168.1.64,1073850560,0,47,synack,443,42011,1852769328,2317357098,14600,1,0,0,2019-01-09T17:24:57.576+0300,1547043897,576970
82.73.194.31,532826450,192.168.1.64,1073850560,0,50,synack,443,42166,1250395490,2856860006,5840,1,0,0,2019-01-09T17:24:57.577+0300,1547043897,577206
52.29.245.135,2280987956,192.168.1.64,1073850560,0,239,synack,443,52927,855253460,3876724429,29200,1,0,0,2019-01-09T17:24:57.577+0300,1547043897,577504
104.67.124.13,226247528,192.168.1.64,1073850560,0,53,synack,443,50946,282896631,3845891294,29200,1,0,0,2019-01-09T17:24:57.577+0300,1547043897,577552
79.59.68.66,1111767887,192.168.1.64,1073850560,0,48,synack,443,35546,156338232,1387331171,5840,1,0,0,2019-01-09T17:24:57.577+0300,1547043897,577598
76.176.139.174,2928390220,192.168.1.64,1073850560,3560,106,synack,443,46192,164322915,1540468504,8192,1,0,0,2019-01-09T17:24:57.577+0300,1547043897,577717
23.193.21.106,1779810583,192.168.1.64,1073850560,0,52,synack,443,60038,3638262378,4245224300,29200,1,0,0,2019-01-09T17:24:57.577+0300,1547043897,577790
116.252.173.108,1823341684,192.168.1.64,1073850560,20233,238,synack,443,52035,1326311886,1507690902,64512,1,0,0,2019-01-09T17:24:57.577+0300,1547043897,577917
23.73.124.103,1736198423,192.168.1.64,1073850560,0,46,synack,443,47401,1222768230,1271826434,29200,1,0,0,2019-01-09T17:24:57.578+0300,1547043897,578001
23.211.217.13,232379159,192.168.1.64,1073850560,0,53,synack,443,53645,3105205529,2910564996,29200,1,0,0,2019-01-09T17:24:57.578+0300,1547043897,578079
58.229.127.72,1216341306,192.168.1.64,1073850560,0,48,synack,443,36578,2574788416,2804228438,5840,1,0,0,2019-01-09T17:24:57.578+0300,1547043897,578121
23.78.22.52,873877015,192.168.1.64,1073850560,0,54,synack,443,50786,3242086618,470651044,29200,1,0,0,2019-01-09T17:24:58.601+0300,1547043898,601063
164.61.247.64,1089944996,192.168.1.64,1073850560,43474,115,synack,443,54980,3038182520,1996784978,512,1,0,0,2019-01-09T17:24:58.601+0300,1547043898,601233
23.97.170.208,3500826903,192.168.1.64,1073850560,9536,110,synack,443,50033,3874616238,2692790546,8192,1,0,0,2019-01-09T17:24:58.601+0300,1547043898,601314
74.203.83.142,2387856202,192.168.1.64,1073850560,6960,114,synack,443,50644,3202967836,1737048451,8192,1,0,0,2019-01-09T17:24:58.601+0300,1547043898,601374
109.24.71.51,860297325,192.168.1.64,1073850560,7264,234,synack,443,56672,167674978,541762247,1608,1,0,0,2019-01-09T17:24:58.601+0300,1547043898,601527
23.196.13.79,1326302231,192.168.1.64,1073850560,0,53,synack,443,39745,4234513593,4022304681,29200,1,0,0,2019-01-09T17:24:58.601+0300,1547043898,601578
96.6.139.205,3448440416,192.168.1.64,1073850560,0,40,synack,443,58063,3360053382,3446204509,29200,1,0,0,2019-01-09T17:24:58.601+0300,1547043898,601648
79.96.243.34,586375247,192.168.1.64,1073850560,0,56,synack,443,60087,2577150418,615823017,29200,1,0,0,2019-01-09T17:24:58.601+0300,1547043898,601820
62.2.200.182,3066561086,192.168.1.64,1073850560,0,51,synack,443,42242,881313458,4078318876,5840,1,0,0,2019-01-09T17:24:58.601+0300,1547043898,601865
82.76.58.26,440028242,192.168.1.64,1073850560,0,54,synack,443,33900,477244297,473325433,5840,1,0,0,2019-01-09T17:24:58.601+0300,1547043898,601924
103.40.154.239,4019857511,192.168.1.64,1073850560,54321,243,synack,443,60529,327725184,2930959336,16384,1,0,0,2019-01-09T17:24:58.602+0300,1547043898,602058
203.205.124.183,3078409675,192.168.1.64,1073850560,23592,224,synack,443,47951,1312469226,3330398835,0,1,0,0,2019-01-09T17:24:58.602+0300,1547043898,602119
23.66.192.105,1774207511,192.168.1.64,1073850560,0,51,synack,443,59538,1626114282,590029293,29200,1,0,0,2019-01-09T17:24:59.625+0300,1547043899,625808
23.10.103.112,1885800983,192.168.1.64,1073850560,0,49,synack,443,43286,2550318366,1983027488,29200,1,0,0,2019-01-09T17:24:59.625+0300,1547043899,625967
91.233.219.154,2598103387,192.168.1.64,1073850560,3383,56,synack,443,57006,3730646202,1612816712,5792,1,0,0,2019-01-09T17:24:59.626+0300,1547043899,626032
64.250.38.151,2535914048,192.168.1.64,1073850560,0,44,synack,443,35132,1450298098,237901500,5760,1,0,0,2019-01-09T17:24:59.626+0300,1547043899,626115
104.71.189.25,431834984,192.168.1.64,1073850560,0,51,synack,443,38360,3105860184,1798696326,29200,1,0,0,2019-01-09T17:24:59.626+0300,1547043899,626259
2.18.230.195,3286635010,192.168.1.64,1073850560,0,54,synack,443,47482,3043363052,2149769816,29200,1,0,0,2019-01-09T17:24:59.626+0300,1547043899,626385
110.172.93.81,1365093486,192.168.1.64,1073850560,48209,48,synack,443,53117,2393810830,527746586,8192,1,0,0,2019-01-09T17:24:59.626+0300,1547043899,626442
73.145.160.123,2074120521,192.168.1.64,1073850560,0,49,synack,443,35513,2015804094,682317535,5840,1,0,0,2019-01-09T17:24:59.626+0300,1547043899,626511
153.92.8.135,2265472153,192.168.1.64,1073850560,0,48,synack,443,57795,942583835,3234453746,29200,1,0,0,2019-01-09T17:24:59.626+0300,1547043899,626654
216.229.151.162,2727863768,192.168.1.64,1073850560,32054,114,synack,443,48263,428553756,2239412603,8192,1,0,0,2019-01-09T17:24:59.626+0300,1547043899,626751
115.136.250.48,821725299,192.168.1.64,1073850560,0,47,synack,443,50165,3585484984,2145626418,5840,1,0,0,2019-01-09T17:24:59.626+0300,1547043899,626820
114.4.167.180,3030844530,192.168.1.64,1073850560,0,50,synack,443,51384,2419550166,286395285,29200,1,0,0,2019-01-09T17:24:59.626+0300,1547043899,626906
51.38.39.121,2032608819,192.168.1.64,1073850560,0,48,synack,443,34673,23535207,450109138,29200,1,0,0,2019-01-09T17:24:59.626+0300,1547043899,626960
23.40.42.95,1596598295,192.168.1.64,1073850560,0,49,synack,443,33408,878427897,4095549843,29200,1,0,0,2019-01-09T17:24:59.627+0300,1547043899,627024
119.39.153.32,546908023,192.168.1.64,1073850560,0,45,synack,443,55418,590903505,4012882620,14600,1,0,0,2019-01-09T17:24:59.627+0300,1547043899,627068
69.30.249.19,335093317,192.168.1.64,1073850560,0,49,synack,443,41084,2872817590,2759679463,14600,1,0,0,2019-01-09T17:24:59.627+0300,1547043899,627122
216.97.231.146,2464637400,192.168.1.64,1073850560,0,50,synack,443,40829,88960829,2954310540,14600,1,0,0,2019-01-09T17:24:59.627+0300,1547043899,627179
218.247.253.38,654178266,192.168.1.64,1073850560,6402,104,synack,443,53744,964886968,1400387411,16384,1,0,0,2019-01-09T17:24:59.627+0300,1547043899,627219
